Fold,Class,Precision,Recall,Sensitivity,Specificity,Accuracy
1,Hypopnea,0.0,0.0,0.0,1.0,0.9566410537870472
1,Obstructive Apnea,0.0,0.0,0.0,0.9983388704318937,0.9895718990120747
1,Normal,0.9477735019241341,0.998262883613202,0.998262883613202,0.0,0.9462129527991219
2,Hypopnea,0.020833333333333332,0.006666666666666667,0.006666666666666667,0.9709697344039531,0.8892029395138497
2,Obstructive Apnea,0.0,0.0,0.0,1.0,0.998304126625212
2,Normal,0.9116792562463684,0.9709158415841584,0.9709158415841584,0.006535947712418301,0.8875070661390616
3,Hypopnea,0.0,0.0,0.0,1.0,0.9905660377358491
3,Obstructive Apnea,0.0,0.0,0.0,0.9976401179941002,0.9970518867924528
3,Normal,0.9899527186761229,0.9976176295413937,0.9976176295413937,0.0,0.9876179245283019
4,Hypopnea,0.0,0.0,0.0,1.0,0.9140786749482401
4,Obstructive Apnea,0.0,0.0,0.0,1.0,0.9994824016563147
4,Normal,0.9135610766045549,1.0,1.0,0.0,0.9135610766045549
5,Hypopnea,0.0,0.0,0.0,1.0,0.8848829854522454
5,Obstructive Apnea,0.0,0.0,0.0,1.0,0.9114484503478811
5,Normal,0.7963314358001266,1.0,1.0,0.0,0.7963314358001266
