Fold,Class,Precision,Recall,Sensitivity,Specificity,Accuracy
1,Hypopnea,0.0,0.0,0.0,1.0,0.9566410537870472
1,Obstructive Apnea,0.0,0.0,0.0,1.0,0.991218441273326
1,Normal,0.9478594950603733,1.0,1.0,0.0,0.9478594950603733
2,Hypopnea,0.0,0.0,0.0,1.0,0.9152063312605992
2,Obstructive Apnea,0.0,0.0,0.0,1.0,0.998304126625212
2,Normal,0.9135104578858112,1.0,1.0,0.0,0.9135104578858112
3,Hypopnea,0.0,0.0,0.0,1.0,0.9905660377358491
3,Obstructive Apnea,0.0,0.0,0.0,1.0,0.9994103773584906
3,Normal,0.9899764150943396,1.0,1.0,0.0,0.9899764150943396
4,Hypopnea,0.0,0.0,0.0,1.0,0.9140786749482401
4,Obstructive Apnea,0.0,0.0,0.0,1.0,0.9994824016563147
4,Normal,0.9135610766045549,1.0,1.0,0.0,0.9135610766045549
5,Hypopnea,0.0,0.0,0.0,1.0,0.8848829854522454
5,Obstructive Apnea,0.0,0.0,0.0,1.0,0.9114484503478811
5,Normal,0.7963314358001266,1.0,1.0,0.0,0.7963314358001266
